Twilight Series - All Media Types,6056,https://archiveofourown.org/tags/Twilight%20Series%20-%20All%20Media%20Types/works,Books *a* Literature
Carmilla (Web Series),5905,https://archiveofourown.org/tags/Carmilla%20(Web%20Series)/works,Books *a* Literature
Les Misérables - Victor Hugo,5195,https://archiveofourown.org/tags/Les%20Mis%C3%A9rables%20-%20Victor%20Hugo/works,Books *a* Literature
Star Wars Legends - All Media Types,5158,https://archiveofourown.org/tags/Star%20Wars%20Legends%20-%20All%20Media%20Types/works,Books *a* Literature
DUMAS Alexandre - Works,5143,https://archiveofourown.org/tags/DUMAS%20Alexandre%20-%20Works/works,Books *a* Literature
d'Artagnan Romances (Three Musketeers Series) - All Media Types,5092,https://archiveofourown.org/tags/d'Artagnan%20Romances%20(Three%20Musketeers%20Series)%20-%20All%20Media%20Types/works,Books *a* Literature
Star Wars Original Trilogy,5087,https://archiveofourown.org/tags/Star%20Wars%20Original%20Trilogy/works,Books *a* Literature
Religion & Lore - Ambiguous Fandom,4634,https://archiveofourown.org/tags/Religion%20*a*%20Lore%20-%20Ambiguous%20Fandom/works,Books *a* Literature
Sherlock Holmes - Arthur Conan Doyle,4587,https://archiveofourown.org/tags/Sherlock%20Holmes%20-%20Arthur%20Conan%20Doyle/works,Books *a* Literature
PRATCHETT Terry - Works,4565,https://archiveofourown.org/tags/PRATCHETT%20Terry%20-%20Works/works,Books *a* Literature
Star Wars: The Clone Wars (2008) - All Media Types,4552,https://archiveofourown.org/tags/Star%20Wars:%20The%20Clone%20Wars%20(2008)%20-%20All%20Media%20Types/works,Books *a* Literature
Twilight Series - Stephenie Meyer,4384,https://archiveofourown.org/tags/Twilight%20Series%20-%20Stephenie%20Meyer/works,Books *a* Literature
Raven Cycle - Maggie Stiefvater,4214,https://archiveofourown.org/tags/Raven%20Cycle%20-%20Maggie%20Stiefvater/works,Books *a* Literature
Snow Queen - All Media Types,4036,https://archiveofourown.org/tags/Snow%20Queen%20-%20All%20Media%20Types/works,Books *a* Literature
The Maze Runner Series - All Media Types,3811,https://archiveofourown.org/tags/The%20Maze%20Runner%20Series%20-%20All%20Media%20Types/works,Books *a* Literature
Hiccup Series - All Media Types,3694,https://archiveofourown.org/tags/Hiccup%20Series%20-%20All%20Media%20Types/works,Books *a* Literature
Durarara!!,3597,https://archiveofourown.org/tags/Durarara!!/works,Books *a* Literature
Warcraft - All Media Types,3454,https://archiveofourown.org/tags/Warcraft%20-%20All%20Media%20Types/works,Books *a* Literature
GAIMAN Neil - Works,3326,https://archiveofourown.org/tags/GAIMAN%20Neil%20-%20Works/works,Books *a* Literature
The Maze Runner Series - James Dashner,3223,https://archiveofourown.org/tags/The%20Maze%20Runner%20Series%20-%20James%20Dashner/works,Books *a* Literature
Treasure Island & Related Fandoms,3103,https://archiveofourown.org/tags/Treasure%20Island%20*a*%20Related%20Fandoms/works,Books *a* Literature
Star Wars Legends: Sith Era - All Media Types,2960,https://archiveofourown.org/tags/Star%20Wars%20Legends:%20Sith%20Era%20-%20All%20Media%20Types/works,Books *a* Literature
Chronicles of Narnia - All Media Types,2916,https://archiveofourown.org/tags/Chronicles%20of%20Narnia%20-%20All%20Media%20Types/works,Books *a* Literature
SHAKESPEARE William - Works,2785,https://archiveofourown.org/tags/SHAKESPEARE%20William%20-%20Works/works,Books *a* Literature
Good Omens - Neil Gaiman & Terry Pratchett,2628,https://archiveofourown.org/tags/Good%20Omens%20-%20Neil%20Gaiman%20*a*%20Terry%20Pratchett/works,Books *a* Literature
