Baby-Sitters Club - Ann M. Martin,562
Baby-Sitters Club - All Media Types,559
Snow White - All Media Types,558
WODEHOUSE P. G. - Works,546
LOVECRAFT H. P. - Works,536
No. 6 - Asano Atsuko,533
Young Wizards - Diane Duane,526
Hitchhiker's Guide to the Galaxy,513
Forgotten Realms,505
Cut & Run - Madeleine Urban & Abigail Roux,500
Cthulhu Mythos - Fandom,499
The Outsiders - All Media Types,497
Jeeves - P. G. Wodehouse,491
Anita Blake: Vampire Hunter - Laurell K. Hamilton,489
Brokeback Mountain - All Media Types,489
Skulduggery Pleasant - Derek Landy,489
Le Fantôme de l'Opéra | Phantom of the Opera - Gaston Leroux,468
Dexter Series - All Media Types,465
Nancy Drew - Carolyn Keene,459
Bourne Series - All Media Types,457
HOMER - Works,455
Throne of Glass Series - Sarah J. Maas,449
Southern Vampire Mysteries - Charlaine Harris,448
Artemis Fowl - Eoin Colfer,440
Three Kingdoms History & Adaptations - All Media Types,440
The Price of Salt - Patricia Highsmith,437
Les Trois Mousquetaires | The Three Musketeers - Alexandre Dumas,437
Alice In Wonderland - Lewis Carroll,436
Cthulhu Mythos - H. P. Lovecraft,435
HINTON S. E. - Works,435
Aubrey-Maturin Series - Patrick O'Brian,432
Hannibal Lecter Tetralogy - Thomas Harris,429
The Outsiders - S. E. Hinton,426
Doctor Who - Various Authors,424
The Dark Artifices Series - Cassandra Clare,421
The Martian - Andy Weir,421
The Vampire Diaries - L. J. Smith,421
Magnus Chase and the Gods of Asgard - Rick Riordan,420
Aladdin - All Media Types,415
Warhammer 40k (Novels) - Various Authors,414
Six of Crows Series - Leigh Bardugo,413
Carmilla - J. Sheridan Le Fanu,407
Lunar Chronicles - Marissa Meyer,407
Parahumans Series - Wildbow,406
Tinker Tailor Soldier Spy - All Media Types,403
Peter Pan - J. M. Barrie,399
LACKEY Mercedes - Works,398
Vampire Academy & Related Fandoms,396
Tomb Raider & Related Fandoms,394
MONTGOMERY L. M. - Works,380
Alex Rider - Anthony Horowitz,373
Mulan - All Media Types,368
Howl's Moving Castle - All Media Types,365
ADAMS Douglas - Works,363
Valdemar Series - Mercedes Lackey,360
The Queen's Thief - Megan Whalen Turner,357
The Iliad - Homer,354
Star Wars Legends: X-wing Series - All Media Types,354
Hitchhiker's Guide to the Galaxy - Douglas Adams,340
Otbleski Eterny | Reflections of Eterna - Vera Kamsha,340
The Muppets - All Media Types,339
Vampire Academy Series - Richelle Mead,336
Lord Peter Wimsey - Dorothy L. Sayers,332
American Gods - Neil Gaiman,327
SANDERSON Brandon - Works,322
Fangirl - Rainbow Rowell,317
The Charioteer - Mary Renault,316
Frankenstein & Related Fandoms,315
The Grisha Trilogy - Leigh Bardugo,313
Cosmere - Brandon Sanderson,310
COOPER Susan - Works,308
Anne of Green Gables - L. M. Montgomery,304
Ghost Hunt,303
The Inheritance Cycle - Christopher Paolini,303
Jewish Scripture & Legend,300
Dark Is Rising Sequence - Susan Cooper,299
Doctor Who: Eighth Doctor Adventures - Various Authors,297
Star Wars Legends: X-wing Series - Aaron Allston & Michael Stackpole,296
A Series of Unfortunate Events - Lemony Snicket,294
The Goblin Emperor - Katherine Addison,290
NIX Garth - Works,289
Wallander - All Media Types,287
Dracula - Bram Stoker,276
Hornblower - C. S. Forester,276
Monster High,271
CHRISTIE Agatha - Works,270
Inspector Lynley - All Media Types,264
Lord of the Flies - William Golding,255
Wheel of Time - Robert Jordan,255
LE CARRE John - Works,254
Star Wars: Clone Wars (2003) - All Media Types,252
Great Gatsby - F. Scott Fitzgerald,249
Maximum Ride - James Patterson,248
Notre-Dame de Paris | The Hunchback of Notre-Dame - All Media Types,245
Old Kingdom - Garth Nix,244
Christian Bible (Old Testament),241
The Eagle of the Ninth - Rosemary Sutcliff,239
Little Red Riding Hood - All Media Types,239
House of Cards - Ambiguous Fandom,237
DAHL Roald - Works,235
Kushiel's Legacy - Jacqueline Carey,232
涼宮ハルヒ | Suzumiya Haruhi - All Media Types,232
DICKENS Charles - Works,231
Fifty Shades of Grey - All Media Types,228
The Bane Chronicles - Sarah Rees Brennan & Cassandra Clare & Maureen Johnson,226
Black Jewels - Anne Bishop,225
Stephanie Plum - Janet Evanovich,225
The Wicked Years Series - Gregory Maguire,225
HEYER Georgette - Works,224
"תנ""ך | Tanakh",222
Wiedźmin | The Witcher Series - Andrzej Sapkowski,218
Little Red Riding Hood (Fairy Tale),217
Bridget Jones's Diary - All Media Types,216
The Chronicles of Chrestomanci - Diana Wynne Jones,216
Cinderella (Fairy Tale),213
Stormlight Archive - Brandon Sanderson,211
Dark Tower - Stephen King,205
Star Wars Legends: Republic Commando Series - Karen Traviss,205
Voyná i mir | War and Peace - Leo Tolstoy,203
Imperial Radch Series - Ann Leckie,202
Horus Heresy - Various Authors,201
Sharpe - All Media Types,199
Poirot - All Media Types,198
Star Wars Legends: Jedi Apprentice Series - Jude Watson & Dave Wolverton,197
The Kane Chronicles - Rick Riordan,195
WEBER David - Works,194
Dragon Age - Various Authors,193
Howl Series - Diana Wynne Jones,193
The Invisible Man - All Media Types,193
ANDERSEN Hans Christian - Works,192
Hardy Boys - Franklin W. Dixon,192
Chalet School - Elinor M. Brent-Dyer,191
Tales from the Shadowhunter Academy - Cassandra Clare,190
Dune - All Media Types,188
The Worst Witch - All Media Types,187
Jane Eyre - All Media Types,186
Dragonlance - Margaret Weis & Tracy Hickman,182
Honor Harrington Series - David Weber,182
Coraline - All Media Types,181
The Lorien Legacies - All Media Types,181
Swordspoint Series - Ellen Kushner,181
Celtic Mythology,180
Neverwhere - All Media Types,179
Coldfire Trilogy - C. S. Friedman,177
盜墓筆記 - 南派三叔 | The Grave Robbers' Chronicles - Xu Lei,177
Havemercy Series - Jaida Jones & Danielle Bennett,176
Winnie-the-Pooh - All Media Types,176
Christian Bible (New Testament),172
Nero Wolfe - Rex Stout,168
Neverwhere - Neil Gaiman,166
Star Wars Legends: Thrawn Trilogy - Timothy Zahn,166
Fight Club - All Media Types,165
GASKELL Elizabeth - Works,165
Noli Me Tangere & Related Works - José Rizal,165
Ranger's Apprentice - John Flanagan,165
Raffles - E. W. Hornung,164
Alexander Trilogy - Mary Renault,163
The Isle of the Lost Series - Melissa de la Cruz,161
Star Wars Legends: New Jedi Order Era - All Media Types,161
Charlie and the Chocolate Factory - All Media Types,160
Dorian Gray - All Media Types,159
The Princess Diaries - All Media Types,158
DR. SEUSS - Works,156
境界の彼方 | Kyoukai no Kanata | Beyond the Boundary,156
Frankenstein - Mary Shelley,155
Poirot - Agatha Christie,155
Chronicles of Amber - Roger Zelazny,154
Little Women Series - Louisa May Alcott,154
Star Wars (Marvel Comics),154
Mahabharata - Vyasa,153
The Marlows - Antonia Forest,153
Ancient Egyptian Religion,152
Realm of the Elderlings - Robin Hobb,151
Tinker Tailor Soldier Spy - John Le Carré,150
Gone With the Wind - All Media Types,148
MCGUIRE Seanan - Works,148
The Fault in Our Stars - John Green,147
The Magicians - Lev Grossman,147
50 Shades of Grey - E. L. James,146
Miss Peregrine's Home for Peculiar Children - Ransom Riggs,146
Tarzan - All Media Types,145
Journey to Star Wars: The Force Awakens,144
North and South - Ambiguous Fandom,143
Phantom - Susan Kay,143
REILLY Matthew - Works,143
Basil of Baker Street - All Media Types,141
Thirteen Reasons Why - Jay Asher,141
Psy-Changeling - Nalini Singh,139
Star Trek - Various Authors,139
North and South - Elizabeth Gaskell | UK TV,137
BLYTON Enid - Works,136
Cloud Atlas - All Media Types,136
Persuasion - Jane Austen,136
BRIGGS Patricia - Works,135
The Count of Monte Cristo - All Media Types,135
Swallows and Amazons - Arthur Ransome,134
Mary Poppins - All Media Types,133
Hellenistic Religion & Lore,131
The Secret Garden - All Media Types,130
KENYON Sherrilyn - Works,128
The Book Thief - Markus Zusak,127
Black Dagger Brotherhood - J. R. Ward,126
WREDE Patricia - Works,126
HUFF Tanya - Works,125
Star Wars Legends: Legacy Era - All Media Types,125
CHERRYH C. J. - Works,124
Bartimaeus - Jonathan Stroud,122
Night World - L. J. Smith,122
The Scarlet Pimpernel - All Media Types,120
Dangan Ronpa Zero,119
Jane Eyre - Charlotte Brontë,119
Stardust - All Media Types,119
EDDINGS David & Leigh - Works,117
Magisterium Series - Holly Black & Cassandra Clare,117
Call Me By Your Name - All Media Types,116
KAY Guy Gavriel - Works,116
The Lorien Legacies - Pittacus Lore,116
Mansfield Park - All Media Types,115
Redwall Series - Brian Jacques,115
Leviathan - Scott Westerfeld,114
The Picture of Dorian Gray - Oscar Wilde,114
Rotkäppchen | Little Red Riding Hood (Fairy Tale),114
Watership Down - Richard Adams,113
Dark-Hunter Series - Sherrilyn Kenyon,112
Dune Series - Frank Herbert,112
Macdonald Hall - Gordon Korman,112
Maurice - E. M. Forster,112
The Sunne in Splendour - Sharon Kay Penman,112
Battle Royale - All Media Types,111
Mercy Thompson Series - Patricia Briggs,111
Ender's Game - All Media Types,110
October Daye Series - Seanan McGuire,110
Aristotle and Dante Discover the Secrets of the Universe - Benjamin Alire Sáenz,109
.hack - All Media Types,109
Newsflesh Trilogy - Mira Grant,108
The Borrowers - All Media Types,107
Secret History - Donna Tartt,107
The Underland Chronicles - Suzanne Collins,107
Bionicle - All Media Types,106
Bridget Jones's Diary - Helen Fielding,106
WELLS Martha - Works,106
Ella Enchanted - All Media Types,105
Messiah Project - All Media Types,105
Star Wars: Thrawn - Timothy Zahn,105
ASIMOV Isaac - Works,104
The Last Unicorn - All Media Types,103
Nancy Drew/Hardy Boys Super Mysteries - Franklin W. Dixon & Carolyn Keene,103
Chalion Saga - Lois McMaster Bujold,102
Wings of Fire - Tui T. Sutherland,102
Hellraiser & Related Fandoms,101
Sleeping Beauty (Fairy Tale),101
World of Warcraft - Various Authors,100
Abraham Lincoln: Vampire Hunter - Seth Grahame-Smith,99
Austin & Murry-O'Keefe Families - Madeleine L'Engle,99
The Jungle Book - All Media Types,99
Kingkiller Chronicles - Patrick Rothfuss,99
Sān guó yǎn yì | Romance of the Three Kingdoms - All Media Types,99
The Secret Garden - Frances Hodgson Burnett,99
Seven Kingdoms Trilogy - Kristin Cashore,99
The Trixie Belden Mysteries - Julie Campbell Tatham & Kathryn Kenny,99
A Christmas Carol - Charles Dickens,97
Ender Series - Orson Scott Card,97
Christian Lore,96
Warm Bodies - All Media Types,96
Mistborn - Brandon Sanderson,95
The Odyssey - Homer,95
Sense and Sensibility - All Media Types,95
Cal Leandros - Rob Thurman,94
Catalyst: A Rogue One Novel - James Luceno,94
The Chronicles Of Vladimir Tod - Zac Brewer,94
The Hollows - Kim Harrison,94
Robin Hood (Traditional),94
THURMAN Rob - Works,94
Lockwood & Co. - Jonathan Stroud,93
Simon vs. the Homo Sapiens Agenda - Becky Albertalli,93
Дом в котором - Мариам Петросян | The House in Which - Mariam Petrosyan,92
Schneewittchen | Snow White (Fairy Tale),92
Doctor Who: Virgin New Adventures - Various Authors,91
The Host - Stephenie Meyer,91
Rapunzel (Fairy Tale),91
The Strange Case of Dr. Jekyll and Mr. Hyde - Robert Louis Stevenson,91
POE Edgar Allan - Works,90
La Belle et la Bête | Beauty and the Beast (Fairy Tale),89
ヴぁんぷ! - 成田良悟 | Vamp! Series - Narita Ryohgo,89
Bloodlines Series - Richelle Mead,88
Oxford Time Travel Universe - Connie Willis,88
Tam Lin & Related Fandoms,88
Hyouka & Kotenbu Series,87
Mansfield Park - Jane Austen,87
Nightrunner Series - Lynn Flewelling,87
Gallagher Girls Series - Ally Carter,86
越佐大橋シリーズ | Etsusa Bridge Series - Narita Ryohgo,85
Nochnoy Dozor | Watch Series - All Media Types,85
Gone With the Wind - Margaret Mitchell,84
Shiki (Anime & Manga),84
Blood-Smoke Series - Tanya Huff,83
吾命騎士 - 御我 | The Legend of the Sun Knight - Yu Wo,83
MILNE A. A. - Works,83
Scarecrow Series - Matthew Reilly,83
Gentleman Bastard Sequence - Scott Lynch,82
The Lorax - Dr. Seuss,82
Robot Series - Isaac Asimov,82
Red Queen - Victoria Aveyard,81
Thomas the Tank Engine - All Media Types,81
Belgariad/Malloreon Series - David & Leigh Eddings,80
Books of the Raksura - Martha Wells,80
The Demon's Lexicon - Sarah Rees Brennan,80
Enchanted Forest Chronicles - Patricia Wrede,80
The Half Bad Trilogy - Sally Green,80
Malory Towers - Enid Blyton,80
Cloud Atlas - David Mitchell,79
Dragaera - Steven Brust,79
Earthsea - Ursula K. Le Guin,79
Winnie-the-Pooh - A. A. Milne,79
Code Name Verity Series - Elizabeth Wein,78
Doctrine of Labyrinths - Sarah Monette,78
Log Horizon,78
Mesopotamian Mythology,78
Midsomer Murders - All Media Types,78
Star Wars Legends: Darth Plagueis - James Luceno,78
Captain Underpants Series - Dav Pilkey,77
Emma - Jane Austen,77
Frontier Wolf - Rosemary Sutcliff,77
Irish Mythology,77
Лабиринты Ехо - Макс Фрай | The Labyrinths of Echo - Max Frei,77
Alliance-Union - C. J. Cherryh,76
Farseer Trilogy - Robin Hobb,75
Den lille Havfrue | The Little Mermaid - Hans Christian Andersen,75
Return to Night - Mary Renault,75
The Selection Series - Kiera Cass,75
Uprooted - Naomi Novik,75
American Girl Dolls - All Media Types,74
Brideshead Revisited - All Media Types,74
Hataraku Maou-Sama! | The Devil Is a Part-Timer!,74
The Night Circus - Erin Morgenstern,74
Baroque Cycle - Neal Stephenson,73
Iskryne Series - Elizabeth Bear & Sarah Monette,73
The Last Unicorn - Peter S. Beagle,72
Miss Marple - Agatha Christie,72
STREATFEILD Noel - Works,72
Supernatural Novels - Various,72
To Kill a Mockingbird - Harper Lee,72
Transformers: War for Cybertron,72
Lymond Chronicles - Dorothy Dunnett,71
The Scarlet Pimpernel - Baroness Orczy,71
101 Dalmatians - All Media Types,70
The Expanse Series - James S. A. Corey,70
The Princess Bride - William Goldman,70
Millennium Trilogy - All Media Types,69
Oz - L. Frank Baum,69
James Bond - Ian Fleming,68
كتاب ألف ليلة وليلة | Kitaab 'alf layla wa-layla | One Thousand and One Nights,68
Sense and Sensibility - Jane Austen,68
BRADBURY Ray - Works,67
Gone Series - Michael Grant,66
Mary Russell - Laurie R. King,66
Shades of Magic - V. E. Schwab,66
1984 - George Orwell,65
Cormoran Strike Series - Robert Galbraith,65
Hänsel und Gretel | Hansel and Gretel (Fairy Tale),65
Jack West Jr Series - Matthew Reilly,65
Johannes Cabal - Jonathan L. Howard,65
СТРУГАЦКИЕ Братья | STRUGATSKY Arkady & Boris - Works,65
Carrie - All Media Types,64
Cirque du Freak | The Saga of Darren Shan - Darren Shan,64
Fight Club - Chuck Palahniuk,64
Tawny Man Trilogy - Robin Hobb,64
Fablehaven Series - Brandon Mull,63
The Perks of Being a Wallflower - All Media Types,63
Tintenwelt-Trilogie | Inkheart Trilogy - Cornelia Funke,63
Pendragon - D. J. MacHale,62
Chinese Mythology,61
The Ever Afters Series - Shelby Bach,61
Deltora Quest - Emily Rodda,60
A Study in Emerald - Neil Gaiman,60
The Time Traveler's Wife - Audrey Niffenegger,60
Call Me by Your Name - André Aciman,59
Hainish Cycle - Ursula K. Le Guin,59
Merry Gentry - Laurell K Hamilton,59
A Little Princess - Frances Hodgson Burnett,58
Nochnoy Dozor | Night Watch - Sergei Lukyanenko,58
A Separate Peace - John Knowles,57
Brideshead Revisited - Evelyn Waugh,56
The Giver Series - Lois Lowry,56
John Dies at the End - David Wong,56
Xī yóu jì | Journey to the West - Wú Cheng'en,56
The Stand - Stephen King,56
You Could Make a Life Series - Taylor Fitzpatrick,56
Agent Pendergast Series - Douglas Preston & Lincoln Child,55
Everworld Series - K. A. Applegate,55
Fate/Apocrypha,55
Hindu Religions & Lore,55
Zastępy Anielskie - Maja Lidia Kossakowska,55
Alexander Hamilton - Ron Chernow,54
Kairos (O'Keefe) Series - Madeleine L'Engle,53
Lost Souls - Poppy Z. Brite,53
The Scorpio Races - Maggie Stiefvater,53
Sneedronningen | The Snow Queen - Hans Christian Andersen,53
Tytania,53
Northanger Abbey - Jane Austen,52
Chronicles of Prydain - Lloyd Alexander,51
Dirk Pitt & Related Fandoms,51
Matilda - Roald Dahl,51
Slavic Mythology & Folklore,51
Japanese Mythology,50
Perry Mason - All Media Types,50
The Sisters Grimm - Michael Buckley,50
World War Z - Max Brooks,50
Darkest Powers - Kelley Armstrong,49
The Fionavar Tapestry - Guy Gavriel Kay,49
HEINLEIN Robert A. - Works,49
The Legend of Drizzt Series - R. A. Salvatore,49
Meso-American Religions & Oral Traditions,49
Mumintroll | Moomins Series - Tove Jansson,49
Native American/First Nations Mythology,49
Of Mice and Men - John Steinbeck,49
Red Rising Trilogy - Pierce Brown,49
Emily of New Moon - L. M. Montgomery,48
Oliver Twist - All Media Types,48
Pretty Little Liars Series - Sara Shepard,48
SCOTT Melissa - Works,48
Under the Dome - All Media Types,48
Women of the Otherworld - Kelley Armstrong,48
Beowulf - All Media Types,47
I Want To Go Home! - Gordon Korman,47
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,47
Old Possum's Book of Practical Cats - T. S. Eliot,47
The Secrets of the Immortal Nicholas Flamel - Michael Scott,47
Thursday Next - Jasper Fforde,47
Wraeththu - Storm Constantine,47
BattleTech: MechWarrior,46
Benjamin January Mysteries - Barbara Hambly,46
Charlie Bone Series | Children of the Red King - Jenny Nimmo,46
The Graveyard Book - Neil Gaiman,46
Keys to the Kingdom - Garth Nix,46
Knight & Rogue - Hilari Bell,46
Parade's End - All Media Types,46
Sweet Valley High - Francine Pascal,46
Le Comte de Monte-Cristo | Count of Monte Cristo - Alexandre Dumas,45
Jurassic Park Series - Michael Crichton,45
Parasol Protectorate - Gail Carriger,45
Welsh Mythology,45
Wicked Lovely Series - Melissa Marr,45
Wuthering Heights - All Media Types,45
Aliens vs Predators Series - Various Authors,44
The Dalemark Quartet - Diana Wynne Jones,44
The Death Gate Cycle - Margaret Weis & Tracy Hickman,44
DU MAURIER Daphne - Works,44
The Epic of Gilgamesh,44
Gemma Doyle Trilogy - Libba Bray,44
Matthew Swift Series - Kate Griffin,44
Brothers Conflict,43
Great Expectations - Charles Dickens,43
House of Night - P. C. Cast & Kristin Cast,43
Metro 2033 & Related Fandoms,43
Le Petit Prince | The Little Prince - Antoine de Saint-Exupéry,43
Smoke Series - Tanya Huff,43
The Witches of Eastwick - All Media Types,43
12 Dancing Princesses (Fairy Tale),42
Alpha and Omega - Patricia Briggs,42
The Art of Fielding - Chad Harbach,42
Ballet Shoes - Noel Streatfeild,42
The School for Good and Evil - Soman Chainani,42
Be More Chill - Ned Vizinni,41
Biggles Series - W. E. Johns,41
Black Magician Trilogy - Trudi Canavan,41
Black Magician Universe - Trudi Canavan,41
Emberverse - S. M. Stirling,41
The Monstrumologist Series - Rick Yancey,41
A Place of Greater Safety - Hilary Mantel,41
Rebecca - Daphne du Maurier & Related Fandoms,41
Wuthering Heights - Emily Brontë,41
17776: What Football Will Look Like in the Future - Jon Bois,40
Cadfael Chronicles - Ellis Peters,40
Carrie - Stephen King,40
Chaos Walking - Patrick Ness,40
The Forbidden Game - L. J. Smith,40
The Handmaid's Tale - Margaret Atwood,40
Jack Ryan & Related Fandoms,40
