Pocket Monsters: Diamond & Pearl & Platinum | Pokemon Diamond Pearl Platinum Versions,351
Rockman X | Mega Man X,347
Fire Emblem: Rekka no Ken | Fire Emblem: Blazing Sword,345
Dangan Ronpa: Another Episode,342
Final Fantasy IX,335
Guild Wars Series (Video Games),335
Bravely Default (Video Game) & Related Fandoms,332
Fate/Grand Order,332
Final Fantasy XIII-2,329
Diabolik Lovers,325
Final Fantasy X-2,320
Pocket Monsters: Gold & Silver & Crystal | Pokemon Gold Silver Crystal Versions,316
Tomb Raider (Video Game),314
Tales of Graces,313
Mortal Kombat (Video Games),309
Rune Factory (Video Games),305
Jak and Daxter,298
The Legend of Zelda: Hyrule Warriors,298
NieR: Automata (Video Game),294
Yandere Simulator (Video Game),293
Deus Ex: Human Revolution,291
Fables (Willingham) - All Media Types,291
The Arcana (Visual Novel),290
Fallen London | Echo Bazaar,289
inFAMOUS (Video Games),286
Pocket Monsters: Red & Green & Blue & Yellow | Pokemon Red Green Blue Yellow Versions,281
大海原と大海原 | Oounabara to Wadanohara | Wadanohara and the Great Blue Sea,279
Shin Sangokumusou | Dynasty Warriors,276
Elsword (Video Game),274
Kirby - All Media Types,273
Monster High,271
Dissidia: Final Fantasy,269
Fable (Video Games),266
Far Cry 3,265
Super Mario Bros. (Video Games),265
ハマトラ | Hamatora,258
Shin Megami Tensei: Devil Survivor 2,258
Star Ocean,256
龍が如く | Ryuu ga Gotoku | Yakuza (Video Games),255
黄金の太陽 | Golden Sun Series,253
Star Wars: Clone Wars (2003) - All Media Types,252
Ib (Video Game),251
Tekken,246
Pokemon Mystery Dungeon,245
Mother 2: Gyiyg no Gyakushuu | EarthBound,244
Tales of Berseria,243
IDOLiSH7 (Video Game),240
Star Wars Legends: Knights of the Old Republic II: The Sith Lords,239
灰色庭園 | Haiiro Teien | The Gray Garden,237
Cuphead (Video Game),235
The Legend of Zelda: Majora's Mask,230
Pocket Monsters: Omega Ruby & Alpha Sapphire | Pokemon Omega Ruby & Alpha Sapphire Versions,228
Nancy Drew (Video Games),227
Guild Wars 2 (Video Game),225
Mother 3,225
Pocket Monsters: Black 2 & White 2 | Pokemon Black 2 & White 2 Versions,221
Night In The Woods (Video Game),219
DmC: Devil May Cry,218
Elder Scrolls III: Morrowind,217
Rune Factory 4,215
Persona 2,214
Prototype (Video Games),214
Horizon: Zero Dawn (Video Game),213
Lightning Returns: Final Fantasy XIII,213
Metroid Series,210
Shin Megami Tensei: Digital Devil Saga,210
Splatoon,210
アイ チュウ | Ai Chuu (Video Game),208
The Sims (Video Games),207
Bully (Video Games),202
Samurai Warriors,202
Final Fantasy Type-0,199
Higurashi no Naku Koro ni | Higurashi When They Cry,199
英雄伝説 閃の軌跡 | The Legend of Heroes: Sen no kiseki (Video Games),196
Far Cry 4,195
Transistor (Video Game),195
Runescape,193
BlazBlue,192
Boyfriend to Death (Visual Novels),192
Dirge of Cerberus: Final Fantasy VII,191
Corpse Party (Video Game),190
Baldur's Gate,189
StarCraft,187
Rockman | Mega Man Classic,184
Ghost Trick: Phantom Detective,182
American McGee's Alice,179
Dept. Heaven Series,179
Injustice: Gods Among Us,178
The Wolf Among Us,177
Disgaea (Games),176
Thief (Video Games),176
inFAMOUS: Second Son,175
Umineko no Naku Koro ni | When the Seagulls Cry,172
Show By Rock!! - All Media Types,171
どうぶつの森 | Animal Crossing Series,170
Kirby (Video Games),168
Zero | Project Zero | Fatal Frame Series,166
Dead by Daylight (Video Game),165
Deus Ex: Mankind Divided,165
Shin Megami Tensei: Devil Survivor,165
Final Fantasy Tactics,161
Guilty Gear,159
Ratchet & Clank,158
The Legend of Zelda: The Wind Waker,154
Pillars of Eternity,154
Star Wars (Marvel Comics),154
End Roll (Video Game),153
大神 | Okami (Video Games),153
Fables - Willingham,152
Bayonetta (Video Games),151
真女神転生IV | Shin Megami Tensei IV,151
艦隊これくしょん | Kantai Collection,149
Legacy of Kain,148
Street Fighter,148
Togainu no Chi,147
古剑奇谭 | Gujian Qitan (Video Games),146
Suikoden III,145
Fire Emblem: Fuuin no Tsurugi | Fire Emblem: Binding Blade,144
My Candy Love,144
Dark Souls III,142
Seduce Me (Visual Novel),142
Fire Emblem: Seisen no Keifu | Fire Emblem: Genealogy of the Holy War,141
新・光神話 パルテナの鏡 | Kid Icarus: Uprising (Video Game),140
Fable 3 (Video Game),136
PAYDAY (Video Games),136
Pyre (Video Game),136
陰陽師 | Onmyoji (Video Game),134
Amnesia: The Dark Descent,133
Pocket Monsters: HeartGold & SoulSilver | Pokemon HeartGold & SoulSilver Versions,132
Yggdra Union,132
Мор. Утопия | Pathologic,130
Chrono Trigger,129
Star Fox Series,129
Gakuen Heaven - All Media Types,127
The Last Remnant,126
Suikoden II,126
Star Wars Legends: Legacy Era - All Media Types,125
文豪とアルケミスト | Bungou to Alchemist,124
Before Crisis: Final Fantasy VII,123
Doki Doki Literature Club! (Visual Novel),123
Neopets,122
The Legend of Zelda: A Link Between Worlds,118
Warcraft III,118
Xenoblade Chronicles X,118
L.A. Noire,117
The Legend of Zelda: Four Swords,117
Shin Megami Tensei: Nocturne,117
Bastion (Video Game),115
Dissidia Duodecim: Final Fantasy,115
Town of Salem (Video Game),115
