The Scarlet Pimpernel - Wildhorn/Knighton,16
Faust - Johann Wolfgang von Goethe,15
Le nozze di Figaro | The Marriage of Figaro - Mozart/Da Ponte,15
Oedipus Cycle - Sophocles,15
1776 - Edwards/Stone,14
Assassins - Sondheim/Weidman,14
Bacchae - Euripides,14
Bonnie & Clyde - Wildhorn/Black/Menchell,14
Measure for Measure - Shakespeare,14
Thrill Me: The Leopold & Loeb Story - Dolginoff,14
Winter's Tale - Shakespeare,14
Евгений Онегин | Eugene Onegin - Aleksandr Pushkin,13
An Inspector Calls - Priestley,13
Leap of Faith - Menken/Slater/Cercone,13
Oliver! - Bart,13
Ördögölő Józsiás - Tolcsvay/Tamási/Bori,13
Pygmalion - Shaw,13
TRUMP - D2,13
Two Gentlemen of Verona - Shakespeare,13
Der Ring des Nibelungen | The Ring of the Nibelung - Wagner,12
The Rocky Horror Show - O'Brien,12
Don Carlos | Don Carlo - Verdi/du Locle/Méry,11
Fame: The Musical - Margoshes/Levy/Fernandez,11
Gypsy - Laurents/Sondheim,11
La Llamada - Jiménez/Ambrossi & Calvo,11
Last 5 Years - Brown,11
Mojo - Butterworth,11
The SpongeBob Musical - Various/Anthony & Coulton/Jarrow,11
A Streetcar Named Desire - Tennessee Williams,11
Titus Andronicus - Shakespeare,11
The 25th Annual Putnam County Spelling Bee - Finn/Sheinkin/Reiss,10
Don Giovanni - Mozart/Da Ponte,10
Henry VI Part 1 - Shakespeare,10
Oklahoma! - Rodgers/Hammerstein,10
Revenger's Tragedy - All Media Types,10
Szentivánéji álom | A Midsummer Night’s Dream - Szakcsi/Müller,10
Bye Bye Birdie - Stewart/Adams/Strouse,9
Dracula: Entre l'amour et la mort - Leclerc/Tabra/Ouzounian & Pelletier,9
Joseph and the Amazing Technicolor Dreamcoat - Webber/Rice,9
Once - All Media Types,9
Rock of Ages - D'Arienzo,9
Sunset Boulevard - All Media Types,9
Chicago - Kander & Ebb & Fosse,8
Christmas Carol 2: Boxing Day - Pearse/Hudson,8
The Duchess of Malfi - Webster,8
Iolanthe - Sullivan/Gilbert,8
Journey's End - Sherriff,8
